"","Con_heridos","Con_muertos","Solo_danos","ak_medias.cluster"
"Aguas frias",38,0,13,2
"Aguas Frias",24,0,8,2
"Aldea Pablo VI",65,1,18,2
"Alejandría",160,1,376,2
"Alejandro Echavarría",601,4,252,3
"Alfonso López",705,5,295,3
"Altamira",476,1,301,3
"Altavista",223,3,147,2
"Altavista Sector Central",175,5,40,2
"Altos del Poblado",151,1,149,2
"Andalucía",158,6,66,2
"Antonio Nariño",179,1,49,2
"Aranjuez",323,2,126,2
"Area De Expansion Altavista",22,0,6,2
"Área de Expansión Altavista",11,0,0,2
"Area de Expansion Altos de Calasanz",2,0,6,2
"Área de Expansión Altos de Calasanz",48,1,45,2
"Area De Expansion Belen Rincon",2,0,9,2
"Área de Expansión Pajarito",660,8,187,3
"Área de Expansión San Antonio de Prado",46,2,19,2
"Asomadera No. 1",401,4,464,3
"Asomadera No. 2",225,0,390,2
"Asomadera No. 3",59,1,73,2
"Asomadera No.1",1,1,0,2
"Astorga",113,0,210,2
"AUC1",10,1,2,2
"Aures No. 2",567,2,153,3
"Aures No.1",456,2,123,3
"Aures No.2",7,0,4,2
"B. Cerro  El Volador",139,1,80,2
"B. Cerro El Volador",0,1,0,2
"Barrio Caicedo",675,7,380,3
"Barrio Colombia",558,5,721,3
"Barrio Colón",1423,14,2237,1
"Barrio Cristóbal",82,1,62,2
"Barrio de Jesús",203,5,101,2
"Barrios de Jesús",1,0,1,2
"Batallón Girardot",7,0,2,2
"Belalcázar",317,1,266,2
"Belén",1050,7,1407,4
"Belencito",132,1,48,2
"Bello Horizonte",245,2,120,2
"Berlin",685,7,319,3
"Berlín",15,0,3,2
"Bermejal-Los Alamos",184,3,70,2
"Betania",96,2,35,2
"Blanquizal",58,1,28,2
"Bolivariana",401,4,448,3
"Bomboná No. 1",502,5,603,3
"Bomboná No. 2",212,2,125,2
"Bomboná No.1",33,0,22,2
"Boqueron",1,0,0,2
"Bosques de San Pablo",180,1,177,2
"Boston",1457,12,1291,4
"Boyacá",413,2,215,3
"Brasilia",460,4,178,3
"Buenos Aires",722,0,458,3
